ordinal,protocol,inherited_family,inherited_secondary_families,inherited_subtype,inherited_kernel_flag,inherited_construction_status,proposed_status,package_behaviors,semantic_requirements,capabilities,row_specific_requirement,source_file,source_pointer,source_commit,representative_model_locator,source_omissions,residue_count,forced_count
48,Jupiter,F1,,solver_or_aggregator_access,no,included,requirements identified; not implemented or verified,Pool swaps; LP positions; signed-order settlement,Reserve/fee/share arithmetic; slippage; partial fills; cancellation; atomic net effects,ExecutionWitness when routing externally; scoped governance,Scheduled slices/triggers; keeper failure; route constraints; owned venues distinguished,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/3/protocols/3,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/uniswap_v2.qnt:279,"Constant-product pilot does not cover concentrated positions, hooks or all solver behavior",4,1
49,KyberSwap,F1,,solver_or_aggregator_access,no,included,requirements identified; not implemented or verified,Pool swaps; LP positions; signed-order settlement,Reserve/fee/share arithmetic; slippage; partial fills; cancellation; atomic net effects,ExecutionWitness when routing externally; scoped governance,Gas-aware routing; related-pool preferences; not generic constant-product pool,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/3/protocols/4,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/uniswap_v2.qnt:279,"Constant-product pilot does not cover concentrated positions, hooks or all solver behavior",3,0
50,DFlow,F1,,solver_or_aggregator_access,no,not_in_60_suite,requirements identified; not implemented or verified,Pool swaps; LP positions; signed-order settlement,Reserve/fee/share arithmetic; slippage; partial fills; cancellation; atomic net effects,ExecutionWitness when routing externally; scoped governance,Future flow-right auction; segmentation/endorsement; originator rebates,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/3/protocols/5,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/uniswap_v2.qnt:279,"Constant-product pilot does not cover concentrated positions, hooks or all solver behavior",4,1
51,1inch,F1,,solver_or_aggregator_access,no,not_in_60_suite,requirements identified; not implemented or verified,Pool swaps; LP positions; signed-order settlement,Reserve/fee/share arithmetic; slippage; partial fills; cancellation; atomic net effects,ExecutionWitness when routing externally; scoped governance,Partial fills; resolver authority; auction schedule; cross-domain secret/timeout,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/3/protocols/6,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/uniswap_v2.qnt:279,"Constant-product pilot does not cover concentrated positions, hooks or all solver behavior",4,3
52,CoW Swap,F1,,solver_or_aggregator_access,no,not_in_60_suite,requirements identified; not implemented or verified,Pool swaps; LP positions; signed-order settlement,Reserve/fee/share arithmetic; slippage; partial fills; cancellation; atomic net effects,ExecutionWitness when routing externally; scoped governance,Order coincidence; batch clearing; solver selection; surplus attribution,corpus50/lanes/lane2-perps-yield-bridges-intents.json,/categories/3/protocols/7,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/uniswap_v2.qnt:279,"Constant-product pilot does not cover concentrated positions, hooks or all solver behavior",4,2
53,Ondo Finance (USDY + OUSG + Global Markets),F5,,tokenized_offchain_claim,no,included,requirements identified; not implemented or verified,Issuer/obligor claims; mint/burn requests; redemption,Eligibility; request-confirm state; registry reconciliation; settlement lag,CustodyAttestation; RegistryEvidence; IdentityCredential; LegalDetermination,Product-specific legal claim/register/custody; seasoning; allocation; banking lag,corpus50/lanes/lane3-rwa-options-stables-prediction.json,/categories/0/protocols/0,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/wbtc.qnt:50;quint-models/L6/usdc.qnt:1,Token accounting is not reserve/custody evidence; older administrative models may omit caller checks,7,3
54,Circle USYC (Hashnote International Short Duration Yield Fund Ltd.),F5,,tokenized_offchain_claim,no,included,requirements identified; not implemented or verified,Issuer/obligor claims; mint/burn requests; redemption,Eligibility; request-confirm state; registry reconciliation; settlement lag,CustodyAttestation; RegistryEvidence; IdentityCredential; LegalDetermination,Registry; prime broker/custodian; instant-redemption capacity versus delayed settlement,corpus50/lanes/lane3-rwa-options-stables-prediction.json,/categories/0/protocols/1,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/wbtc.qnt:50;quint-models/L6/usdc.qnt:1,Token accounting is not reserve/custody evidence; older administrative models may omit caller checks,7,3
55,"BlackRock BUIDL (BlackRock USD Institutional Digital Liquidity Fund, via Securitize)",F5,,tokenized_offchain_claim,no,included,requirements identified; not implemented or verified,Issuer/obligor claims; mint/burn requests; redemption,Eligibility; request-confirm state; registry reconciliation; settlement lag,CustodyAttestation; RegistryEvidence; IdentityCredential; LegalDetermination,Transfer-agent register; manager; dividends; third-party redemption facility,corpus50/lanes/lane3-rwa-options-stables-prediction.json,/categories/0/protocols/2,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/wbtc.qnt:50;quint-models/L6/usdc.qnt:1,Token accounting is not reserve/custody evidence; older administrative models may omit caller checks,8,3
56,Maple Finance (syrupUSDC / syrupUSDT + institutional pools),F5,F2,private_credit_claim,no,included,requirements identified; not implemented or verified,Issuer/obligor claims; mint/burn requests; redemption,Eligibility; request-confirm state; registry reconciliation; settlement lag,CustodyAttestation; RegistryEvidence; IdentityCredential; LegalDetermination,F5+F2 shared loan book through distinct wrappers; concentration; liquidity buffer,corpus50/lanes/lane3-rwa-options-stables-prediction.json,/categories/0/protocols/3,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/wbtc.qnt:50;quint-models/L6/usdc.qnt:1,Token accounting is not reserve/custody evidence; older administrative models may omit caller checks,7,4
57,Centrifuge (Centrifuge Protocol V3),F5,,tokenized_offchain_claim,no,included,requirements identified; not implemented or verified,Issuer/obligor claims; mint/burn requests; redemption,Eligibility; request-confirm state; registry reconciliation; settlement lag,CustodyAttestation; RegistryEvidence; IdentityCredential; LegalDetermination,Servicing/NAV; covenant waterfall; hub-to-spoke valuation propagation,corpus50/lanes/lane3-rwa-options-stables-prediction.json,/categories/0/protocols/4,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/wbtc.qnt:50;quint-models/L6/usdc.qnt:1,Token accounting is not reserve/custody evidence; older administrative models may omit caller checks,6,3
58,Derive (formerly Lyra V2),F3,,option_or_structured_derivative,yes,included,requirements identified; not implemented or verified,Options; perpetual episodes; portfolio margin; underwriting,Signed positions/PnL; funding versus borrow fee; expiry; scenario ordering; reservation/closeout,PriceObservation; volatility/forward/fixing; ExecutionWitness where external,Scenario margin plus actual option legs; volatility/forward/fixing; v2 model omits options,corpus50/lanes/lane3-rwa-options-stables-prediction.json,/categories/1/protocols/0,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/derive.qnt:630;quint-models/L5/hegic.qnt:50,Derive model uses empty-option path; Hegic accepts supplied payoff rather than computing it,6,3
59,Rysk V12,F3,,option_or_structured_derivative,yes,included,requirements identified; not implemented or verified,Options; perpetual episodes; portfolio margin; underwriting,Signed positions/PnL; funding versus borrow fee; expiry; scenario ordering; reservation/closeout,PriceObservation; volatility/forward/fixing; ExecutionWitness where external,Epoch strike/tenor; hedge bands; auction/RFQ; capacity; short-volatility exposure,corpus50/lanes/lane3-rwa-options-stables-prediction.json,/categories/1/protocols/1,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/derive.qnt:630;quint-models/L5/hegic.qnt:50,Derive model uses empty-option path; Hegic accepts supplied payoff rather than computing it,5,2
60,Hegic,F3,,option_or_structured_derivative,yes,included,requirements identified; not implemented or verified,Options; perpetual episodes; portfolio margin; underwriting,Signed positions/PnL; funding versus borrow fee; expiry; scenario ordering; reservation/closeout,PriceObservation; volatility/forward/fixing; ExecutionWitness where external,Pool underwriting; utilization; computed priced payoff rather than supplied bounded value,corpus50/lanes/lane3-rwa-options-stables-prediction.json,/categories/1/protocols/2,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/derive.qnt:630;quint-models/L5/hegic.qnt:50,Derive model uses empty-option path; Hegic accepts supplied payoff rather than computing it,5,2
61,Aevo (Ribbon Finance lineage),F3,,option_or_structured_derivative,yes,included,requirements identified; not implemented or verified,Options; perpetual episodes; portfolio margin; underwriting,Signed positions/PnL; funding versus borrow fee; expiry; scenario ordering; reservation/closeout,PriceObservation; volatility/forward/fixing; ExecutionWitness where external,Portfolio/options plus matching/rollup/auction; explicit balance migration,corpus50/lanes/lane3-rwa-options-stables-prediction.json,/categories/1/protocols/3,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/derive.qnt:630;quint-models/L5/hegic.qnt:50,Derive model uses empty-option path; Hegic accepts supplied payoff rather than computing it,3,2
62,Panoptic V2,F3,,option_or_structured_derivative,yes,included,requirements identified; not implemented or verified,Options; perpetual episodes; portfolio margin; underwriting,Signed positions/PnL; funding versus borrow fee; expiry; scenario ordering; reservation/closeout,PriceObservation; volatility/forward/fixing; ExecutionWitness where external,Expiry-free LP-backed options; streamed premium; force exercise; finite epoch needed,corpus50/lanes/lane3-rwa-options-stables-prediction.json,/categories/1/protocols/4,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/derive.qnt:630;quint-models/L5/hegic.qnt:50,Derive model uses empty-option path; Hegic accepts supplied payoff rather than computing it,4,2
63,Tether USDT,F5,,reserve_backed_monetary_claim,no,included,requirements identified; not implemented or verified,Issuer/obligor claims; mint/burn requests; redemption,Eligibility; request-confirm state; registry reconciliation; settlement lag,CustodyAttestation; RegistryEvidence; IdentityCredential; LegalDetermination,Issuer/obligor; reserves; redemption friction; chain-swap issuance; freeze/destruction,corpus50/lanes/lane3-rwa-options-stables-prediction.json,/categories/2/protocols/0,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/wbtc.qnt:50;quint-models/L6/usdc.qnt:1,Token accounting is not reserve/custody evidence; older administrative models may omit caller checks,8,3
64,Circle USDC,F5,,reserve_backed_monetary_claim,no,included,requirements identified; not implemented or verified,Issuer/obligor claims; mint/burn requests; redemption,Eligibility; request-confirm state; registry reconciliation; settlement lag,CustodyAttestation; RegistryEvidence; IdentityCredential; LegalDetermination,Minter allowance; blacklist; external banking/reserves; float recipient,corpus50/lanes/lane3-rwa-options-stables-prediction.json,/categories/2/protocols/1,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/wbtc.qnt:50;quint-models/L6/usdc.qnt:1,Token accounting is not reserve/custody evidence; older administrative models may omit caller checks,5,3
65,World Liberty Financial USD1,F5,,reserve_backed_monetary_claim,no,included,requirements identified; not implemented or verified,Issuer/obligor claims; mint/burn requests; redemption,Eligibility; request-confirm state; registry reconciliation; settlement lag,CustodyAttestation; RegistryEvidence; IdentityCredential; LegalDetermination,Issuer versus custodian; multi-chain native issuance; concentrated authority,corpus50/lanes/lane3-rwa-options-stables-prediction.json,/categories/2/protocols/2,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/wbtc.qnt:50;quint-models/L6/usdc.qnt:1,Token accounting is not reserve/custody evidence; older administrative models may omit caller checks,4,3
66,Global Dollar USDG (Paxos / Global Dollar Network),F5,,reserve_backed_monetary_claim,no,included,requirements identified; not implemented or verified,Issuer/obligor claims; mint/burn requests; redemption,Eligibility; request-confirm state; registry reconciliation; settlement lag,CustodyAttestation; RegistryEvidence; IdentityCredential; LegalDetermination,Reserve-yield sharing with partners; issuer governance; not merely token fees,corpus50/lanes/lane3-rwa-options-stables-prediction.json,/categories/2/protocols/3,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/wbtc.qnt:50;quint-models/L6/usdc.qnt:1,Token accounting is not reserve/custody evidence; older administrative models may omit caller checks,4,3
67,PayPal USD (PYUSD),F5,,reserve_backed_monetary_claim,no,included,requirements identified; not implemented or verified,Issuer/obligor claims; mint/burn requests; redemption,Eligibility; request-confirm state; registry reconciliation; settlement lag,CustodyAttestation; RegistryEvidence; IdentityCredential; LegalDetermination,Custodial payment ledger; reversals/disputes; externally funded rewards,corpus50/lanes/lane3-rwa-options-stables-prediction.json,/categories/2/protocols/4,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/wbtc.qnt:50;quint-models/L6/usdc.qnt:1,Token accounting is not reserve/custody evidence; older administrative models may omit caller checks,4,3
68,Kalshi,P,,conditional_token_market,conditional,included,requirements identified; not implemented or verified,Conditional claims; matching or pool underwriting,Condition/outcome identity; partition/payout; resolution; redemption; liabilities,OutcomeResolution; rulebook/dispute authority; custody when external,CCP novation; clearing/rulebook/listing/custody; split/merge is not implementation evidence,corpus50/lanes/lane3-rwa-options-stables-prediction.json,/categories/3/protocols/0,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/polymarket.qnt:551,Restricted markets; dispute and negative-risk omissions; no inherited Kalshi/Azuro implementation,6,3
69,Polymarket,P,,conditional_token_market,conditional,included,requirements identified; not implemented or verified,Conditional claims; matching or pool underwriting,Condition/outcome identity; partition/payout; resolution; redemption; liabilities,OutcomeResolution; rulebook/dispute authority; custody when external,Partition split/merge; ordered partial fills; invalid outcome; negative-risk; dispute/override,corpus50/lanes/lane3-rwa-options-stables-prediction.json,/categories/3/protocols/1,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/polymarket.qnt:551,Restricted markets; dispute and negative-risk omissions; no inherited Kalshi/Azuro implementation,6,4
70,Azuro,P,,conditional_token_liquidity_pool,conditional,included,requirements identified; not implemented or verified,Conditional claims; matching or pool underwriting,Condition/outcome identity; partition/payout; resolution; redemption; liabilities,OutcomeResolution; rulebook/dispute authority; custody when external,Underwritten liabilities; exposure odds; correlated parlays; data-provider resolution,corpus50/lanes/lane3-rwa-options-stables-prediction.json,/categories/3/protocols/2,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/polymarket.qnt:551,Restricted markets; dispute and negative-risk omissions; no inherited Kalshi/Azuro implementation,4,3
71,Steakhouse Financial (Risk Curators),F6,,risk_curator,no,included,requirements identified; not implemented or verified,Investor claims; mandates; strategies over other packages,Authority grants/revocation; caps/delays; fee/loss allocation; queues/reporting,AllocationDecision; GovernanceAuthorization; KeeperDelivery; underlying capabilities,Separate product identity from row37; explicit scope for shared mandate evidence,corpus50/lanes/lane3-rwa-options-stables-prediction.json,/categories/3/protocols/3,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/metamorpho.qnt:254;quint-models-v2/huma.qnt:593,"MetaMorpho omits cap timelock, fees, guardian and underlying accrual",5,3
72,Grove Finance (Onchain Capital Allocator),F6,,capital_allocator,no,included,requirements identified; not implemented or verified,Investor claims; mandates; strategies over other packages,Authority grants/revocation; caps/delays; fee/loss allocation; queues/reporting,AllocationDecision; GovernanceAuthorization; KeeperDelivery; underlying capabilities,Cross-organization mandate; external credit/tranches; NAV; redemption-duration mismatch,corpus50/lanes/lane3-rwa-options-stables-prediction.json,/categories/3/protocols/4,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/metamorpho.qnt:254;quint-models-v2/huma.qnt:593,"MetaMorpho omits cap timelock, fees, guardian and underlying accrual",4,2
